InvoiceDate,ClNumber,Portfolio,Total,Downpayment,Subsidy,InitialCreditAmount,ProductMix,Days Overdue as of 01.08,OverdueInstallmentsAmount,OverdueInstallments,DaysTillNextPayment,Branch,Balanceas of 01.08,Days Overdue as of 01.05,Overdue Amount,Manager,Contact updated,Current address updated,System located at indicated address,Client knows he has a debt,Client knows the amount of a debt,Client willing and capable to pay,Amount a client can pay this month,Last payment date,Last payment amount,Last payment method,Client knows the options of paying,The system is working,Date of the last contact by staff,Category
8/30/2016,A20248L502268,First Transh,5400,425,1150,3825,Home System,837,816000,16,0,B18,816000,,816000,MMM,yes,yes,no,,,,,,,,,,,CLAIMS SYSTEM WAS REPOSSESED
7/11/2016,B20249AA02123,First Transh,17812.5,1390.625,3971.875,12450,Home System,954,229000,2,0,,,,,,,,,,,,,,,,,,,
3/24/2016,C20250K102044,First T,11306.25,1368.75,0,9937.5,Home System,0,0,0,0,,,,,,,,,,,,,,,,,,,
7/12/2016,A20251L602101,First Transh,13006.25,1306.25,0,11700,Home System,559,2496000,16,0,B28,2496000,,2496000,MMM,yes,yes,yes,yes,YES,no,,2018,156000,MOBILE MONEY,YES,YES,21-Apr,FRAUD AND AUDIT ISSUES
7/11/2016,B20252A102105,First Transh,10715.625,834.375,2381.25,7500,Home System,0,0,0,0,,,,,,,,,,,,,,,,,,,
7/26/2016,C20253A50353,First Transh,4925,1600,1487.5,1837.5,Home System,0,0,0,0,,,,,,,,,,,,,,,,,,,
7/28/2016,A20254CB02104,First Transh,3665.625,328.125,937.5,2400,Home System,1269,184000,3,0,,,,,,,,,,,,,,,,,,,
7/9/2016,B20255AB02077,First Transh,12428.125,1253.125,0,11175,Home System,1017,2023500,14,0,,,,,,,,,,,,,,,,,,,
3/31/2016,C20256FC02038,First T,5650,1750,0,3900,Home System,917,124000,3,0,,,,,,,,,,,,,,,,,,,
7/9/2016,A20257E102156,First Transh,4918.75,493.75,0,4425,Home System,0,0,0,0,,,,,,,,,,,,,,,,,,,
7/11/2016,B20258G802057,First Transh,11593.75,1168.75,0,10425,Home System,0,0,0,0,,,,,,,,,,,,,,,,,,,
7/7/2016,C20259A302123,First Transh,8446.875,3750,2446.875,2250,Home System,0,0,0,0,,,,,,,,,,,,,,,,,,,
7/7/2016,A20260L402092,First Transh,8587.5,862.5,0,7725,Home System,433,1620000,15,0,,,,,,,,,,,,,,,,,,,
1/25/2017,B20261F102101,First Transh,13975,1131.25,2718.75,10125,Home System,492,2158000,16,0,,,,,,,,,,,,,,,,,,,
5/26/2016,C20262D502034,First Transh,10837.5,1087.5,0,9750,Home System,0,0,0,0,,,,,,,,,,,,,,,,,,,
7/7/2016,A20263A302122,First Transh,8909.375,3125,2446.875,3337.5,Home System,0,0,0,0,,,,,,,,,,,,,,,,,,,
7/12/2016,B20264D502119,First Transh,11256.25,1131.25,0,10125,Home System,830,681000,5,0,,,,,,,,,,,,,,,,,,,
7/8/2016,C20265L502261,First Transh,5750.3125,578.125,0,5172.1875,Home System,1717,1606100,24,0,,,,,,,,,,,,,,,,,,,
9/26/2016,A20266L502260,First Transh,11421.875,1071.875,2587.5,7762.5,Home System,1261,484000,3,0,,,,,,,,,,,,,,,,,,,
7/11/2016,B20267G902053,First Transh,15178.125,1528.125,0,13650,Home System,769,520000,3,0,B10,520000,798,520000,MJK,,,,,,,,,,,,,,CLIENT NUMBER NOT AVAILABLE
3/31/2016,C20268A102020,First T,5275,1225,0,4050,Home System,1522,216000,2,0,,,,,,,,,,,,,,,,,,,
7/25/2016,A20269L402091,First Transh,5921.875,596.875,0,5325,Home System,0,0,0,0,,,,,,,,,,,,,,,,,,,
7/23/2016,B20270E102150,First Transh,15090.625,1515.625,0,13575,Home System,1711,4326000,24,0,,,,,,,,,,,,,,,,,,,
3/30/2016,C20271K102039,First T,16046.875,1946.875,0,14100,Home System,1433,944000,3,0,,,,,,,,,,,,,,,,,,,
7/25/2016,A20272E20146,First Transh,3881.25,468.75,0,3412.5,Home System,1372,156000,2,0,,,,,,,,,,,,,,,,,,,
9/5/2016,B20273E202069,First Transh,13787.5,1562.5,0,12225,Home System,0,0,0,0,,,,,,,,,,,,,,,,,,,
7/13/2016,C20274B302099,First Transh,8675,875,0,7800,Home System,0,0,0,0,,,,,,,,,,,,,,,,,,,
7/12/2016,A20275AB02074,First Transh,5425,550,0,4875,Home System,586,845000,13,0,,,,,,,,,,,,,,,,,,,
7/7/2016,B20276F802078,First Transh,5512.5,937.5,0,4575,Home System,927,0,1,0,,,,,,,,,,,,,,,,,,,
7/25/2016,C20277DC02082,First Transh,4909.375,596.875,0,4312.5,Home System,0,0,0,0,,,,,,,,,,,,,,,,,,,
7/7/2016,A20278AB02073,First Transh,6168.75,618.75,0,5550,Home System,685,168000,3,0,,,,,,,,,,,,,,,,,,,
